0.129252,0.353132,0.802515,5.01342,10.5652,4.36363,1.06608,0.365894,0.0916451,0.0252535,0.00975448,0.00350602,0.00141724,0.000583178,0.000195898,8.81E-05,4.61E-05,1.37E-05,6.94E-06,1.61E-06,4.10E-07,1.94E-07,8.29E-08,2.70E-08,1.31E-08,5.30E-09,2.45E-09,1.04E-09,4.91E-10,1.48E-10,3.65E-11,9.29E-12,4.43E-12,1.38E-12,6.04E-13, 
-8.53E-05,-8.21E-05,-6.77E-05,-3.84E-05,-2.75E-05,-1.71E-05,-9.80E-06,-7.43E-06,-3.00E-06,-1.98E-06,-9.35E-07,-5.00E-07,-2.28E-07,-1.21E-07,-6.58E-08,-2.21E-08,-7.87E-09,-3.39E-09,-1.50E-09,-5.55E-10,-2.10E-10,-8.33E-11,-4.41E-11,-2.22E-11,-8.16E-12,-1.65E-12,-9.38E-13,-4.05E-13,-1.32E-13,-4.49E-14,-1.83E-14,-7.55E-15,-2.42E-15,-9.11E-16,-4.06E-16, 
-3.31E-05,-2.79E-05,-1.84E-05,-1.51E-05,-1.02E-05,-6.61E-06,-4.79E-06,-3.62E-06,-2.18E-06,-1.03E-06,-3.52E-07,-1.78E-07,-1.16E-07,-4.92E-08,-2.92E-08,-1.04E-08,-4.47E-09,-1.81E-09,-8.12E-10,-4.18E-10,-1.64E-10,-6.01E-11,-3.26E-11,-7.21E-12,-3.50E-12,-1.60E-12,-6.77E-13,-4.02E-13,-1.65E-13,-5.85E-14,-1.58E-14,-7.81E-15,-2.79E-15,-1.04E-15,-4.81E-16, 
-1.66E-05,-1.08E-05,-8.29E-06,-5.97E-06,-4.04E-06,-3.33E-06,-1.87E-06,-1.16E-06,-7.02E-07,-3.78E-07,-2.10E-07,-9.78E-08,-5.03E-08,-2.38E-08,-1.21E-08,-6.04E-09,-3.18E-09,-1.20E-09,-6.54E-10,-2.42E-10,-8.98E-11,-3.06E-11,-1.37E-11,-6.11E-12,-2.45E-12,-1.15E-12,-3.83E-13,-2.73E-13,-6.40E-14,-2.43E-14,-7.88E-15,-4.35E-15,-1.98E-15,-6.46E-16,-3.58E-16, 
-6.50E-06,-5.70E-06,-4.82E-06,-4.03E-06,-1.97E-06,-1.50E-06,-1.01E-06,-5.91E-07,-4.10E-07,-2.36E-07,-1.08E-07,-6.19E-08,-3.00E-08,-1.17E-08,-6.62E-09,-1.79E-09,-1.31E-09,-7.42E-10,-3.28E-10,-1.41E-10,-5.30E-11,-2.21E-11,-9.06E-12,-4.16E-12,-1.58E-12,-8.24E-13,-2.55E-13,-1.48E-13,-4.43E-14,-1.91E-14,-4.71E-15,-2.86E-15,-1.06E-15,-4.91E-16,-2.01E-16, 
-2.17E-06,-2.03E-06,-1.90E-06,-1.97E-06,-8.82E-07,-6.29E-07,-3.47E-07,-2.70E-07,-1.36E-07,-9.59E-08,-5.17E-08,-2.31E-08,-1.36E-08,-6.88E-09,-2.45E-09,-1.04E-09,-5.86E-10,-3.61E-10,-1.55E-10,-7.54E-11,-2.65E-11,-1.01E-11,-4.68E-12,-2.02E-12,-9.34E-13,-4.53E-13,-1.56E-13,-7.74E-14,-2.78E-14,-1.11E-14,-4.07E-15,-1.80E-15,-6.32E-16,-4.09E-16,-1.56E-16, 
-8.94E-07,-7.24E-07,-6.95E-07,-6.23E-07,-4.63E-07,-2.34E-07,-1.43E-07,-1.09E-07,-6.00E-08,-3.27E-08,-2.16E-08,-1.30E-08,-5.44E-09,-2.99E-09,-1.09E-09,-5.27E-10,-2.52E-10,-1.69E-10,-7.69E-11,-4.22E-11,-1.80E-11,-6.86E-12,-3.62E-12,-1.58E-12,-7.31E-13,-3.14E-13,-1.31E-13,-4.70E-14,-2.21E-14,-1.04E-14,-3.71E-15,-1.29E-15,-5.37E-16,-1.90E-16,-1.14E-16, 
-3.16E-07,-2.38E-07,-2.35E-07,-1.97E-07,-1.77E-07,-8.94E-08,-5.79E-08,-4.67E-08,-2.71E-08,-1.64E-08,-8.84E-09,-4.06E-09,-2.60E-09,-1.27E-09,-6.85E-10,-2.39E-10,-1.45E-10,-8.32E-11,-3.04E-11,-1.92E-11,-8.49E-12,-3.68E-12,-1.67E-12,-7.47E-13,-3.74E-13,-1.46E-13,-6.71E-14,-3.68E-14,-1.51E-14,-4.77E-15,-2.12E-15,-9.29E-16,-3.38E-16,-1.39E-16,-5.48E-17, 
-9.24E-08,-8.93E-08,-8.41E-08,-7.72E-08,-5.10E-08,-3.63E-08,-2.38E-08,-1.90E-08,-1.05E-08,-5.97E-09,-3.71E-09,-2.14E-09,-9.24E-10,-6.15E-10,-2.62E-10,-1.24E-10,-6.86E-11,-3.71E-11,-1.58E-11,-7.87E-12,-4.61E-12,-2.48E-12,-7.42E-13,-4.12E-13,-1.98E-13,-9.42E-14,-3.91E-14,-1.43E-14,-9.09E-15,-3.97E-15,-1.44E-15,-5.88E-16,-1.58E-16,-9.31E-17,-4.49E-17, 
-4.16E-08,-3.37E-08,-2.89E-08,-2.45E-08,-1.36E-08,-1.37E-08,-9.07E-09,-5.41E-09,-3.78E-09,-2.26E-09,-1.59E-09,-8.17E-10,-3.36E-10,-1.43E-10,-1.13E-10,-5.09E-11,-3.26E-11,-2.20E-11,-8.20E-12,-3.94E-12,-1.99E-12,-1.18E-12,-4.20E-13,-1.75E-13,-9.17E-14,-4.14E-14,-2.38E-14,-1.02E-14,-5.53E-15,-2.73E-15,-1.06E-15,-4.43E-16,-1.23E-16,-6.36E-17,-2.93E-17, 
-9.41E-09,-1.60E-08,-1.08E-08,-8.45E-09,-5.45E-09,-4.78E-09,-4.21E-09,-2.25E-09,-1.39E-09,-7.36E-10,-5.86E-10,-3.13E-10,-1.31E-10,-6.24E-11,-4.37E-11,-2.35E-11,-1.42E-11,-7.00E-12,-4.02E-12,-1.74E-12,-8.84E-13,-5.50E-13,-2.24E-13,-9.12E-14,-3.61E-14,-1.96E-14,-1.28E-14,-5.88E-15,-2.64E-15,-7.59E-16,-4.44E-16,-1.72E-16,-6.81E-17,-3.12E-17,-1.10E-17, 
-3.39E-09,-3.67E-09,-4.42E-09,-3.72E-09,-2.78E-09,-1.81E-09,-1.24E-09,-8.44E-10,-5.88E-10,-2.47E-10,-1.90E-10,-1.19E-10,-4.62E-11,-2.02E-11,-2.01E-11,-9.63E-12,-5.02E-12,-3.60E-12,-1.63E-12,-1.03E-12,-5.48E-13,-2.99E-13,-1.50E-13,-6.24E-14,-2.46E-14,-1.10E-14,-5.20E-15,-1.98E-15,-9.68E-16,-3.35E-16,-2.03E-16,-9.53E-17,-2.49E-17,-1.75E-17,-6.60E-18, 
-1.55E-09,-1.39E-09,-1.46E-09,-1.66E-09,-9.12E-10,-6.55E-10,-4.63E-10,-3.87E-10,-1.62E-10,-1.16E-10,-8.85E-11,-5.87E-11,-3.21E-11,-1.06E-11,-7.94E-12,-3.98E-12,-2.39E-12,-9.89E-13,-7.99E-13,-3.17E-13,-2.24E-13,-1.45E-13,-8.65E-14,-3.80E-14,-8.62E-15,-4.36E-15,-3.00E-15,-1.30E-15,-5.39E-16,-2.05E-16,-9.56E-17,-4.99E-17,-1.82E-17,-9.21E-18,-4.41E-18, 
-8.04E-10,-5.60E-10,-7.36E-10,-6.31E-10,-2.91E-10,-1.56E-10,-1.55E-10,-9.87E-11,-7.73E-11,-6.01E-11,-3.77E-11,-1.29E-11,-1.16E-11,-6.49E-12,-4.06E-12,-1.86E-12,-1.11E-12,-5.29E-13,-2.77E-13,-1.28E-13,-1.13E-13,-5.39E-14,-2.58E-14,-1.22E-14,-5.03E-15,-2.47E-15,-1.33E-15,-5.82E-16,-2.47E-16,-1.26E-16,-5.16E-17,-2.34E-17,-8.23E-18,-4.78E-18,-2.57E-18, 
-2.29E-10,-2.83E-10,-2.40E-10,-2.45E-10,-1.10E-10,-7.23E-11,-4.84E-11,-3.49E-11,-2.51E-11,-2.16E-11,-1.74E-11,-7.90E-12,-4.37E-12,-2.46E-12,-1.80E-12,-1.09E-12,-4.86E-13,-2.31E-13,-1.24E-13,-7.13E-14,-4.08E-14,-2.55E-14,-1.07E-14,-6.62E-15,-2.53E-15,-1.46E-15,-6.51E-16,-3.80E-16,-1.16E-16,-5.82E-17,-3.03E-17,-1.22E-17,-4.74E-18,-2.38E-18,-1.29E-18, 
-9.27E-11,-6.99E-11,-6.20E-11,-8.65E-11,-4.73E-11,-3.68E-11,-2.21E-11,-2.07E-11,-1.03E-11,-6.12E-12,-6.00E-12,-3.86E-12,-2.04E-12,-1.16E-12,-6.87E-13,-4.05E-13,-2.46E-13,-1.08E-13,-5.14E-14,-3.00E-14,-1.70E-14,-8.37E-15,-7.17E-15,-3.26E-15,-1.50E-15,-7.31E-16,-3.24E-16,-1.93E-16,-8.48E-17,-3.90E-17,-2.00E-17,-7.65E-18,-3.87E-18,-1.69E-18,-8.46E-19, 
